j_abbr,journal
aa,Age and Ageing
aas,Annals of Applied Statistics
addh,Annales de Demographie Historique
afrps,African Population Studies
ajph,American Journal of Public Health
ajs,American Journal of Sociology
alcr,Advances in Life Course Research
am,Applied Mobilities
aps,Asian Population Studies
arhj,African Reproductive Health Journal
ars,Annals of Regional Science
as,Ageing and Society
asap,Applied Spatial Analysis and Policy
asr,American Sociological Review
ausps,Australian Population Studies
bsb,Biodemography and Social Biology
c,Contraception
cc,Continuity and Change
cms,Comparative Migration Studies
cps,Comparative Population Studies
csp,Canadian Studies in Population
d,Demography
di,Demography India
dp,Developmental Psychology
dr,Demographic Research
ds,Diaspora Studies
e,Epidemiology
eh,Ethnicity and Health
eja,European Journal of Ageing
eje,European Journal of Epidemiology
ejp,European Journal of Population
ejph,European Journal of Public Health
eps,Espace Populations Sociétés
ers,Journal of Ethnic and Racial Studies
es,European Societies
esr,European Sociological Review
fpp,Family Planning Perspectives
g,Genus
gpc,"Gender, Place and Culture"
gph,Global Public Health
gs,Gender and Society
hc,Home Cultures
hf,History of the Family
hlcs,Historical Life Course Studies
hm,Historical Methods
hp,Health and Place
hr,Health Reports
humr,Human Reproduction
ije,International Journal of Epidemiology
ijps,International Journal of Population Studies
im,International Migration
imr,International Migration Review
ipsrh,International Perspectives on Sexual and Reproductive Health
jama,Journal of the American Medical Association
jasa,Journal of the American Statistical Association
jasp,Journal of Aging and Social Policy
jbs,Journal of Biosocial Science
jde,Journal of Demographic Economics
jdeve,Journal of Development Economics
jech,Journal of Epidemiology and Community Health
jedcc,Journal of Economic Development and Cultural Change
jeg,Journal of Economic Growth
jeh,Journal of Economic History
jehb,Journal of Economics and Human Biology
jems,Journal of Ethnic and Migration Studies
jfi,Journal of Family Issues
jfs,Journal of Family Studies
jg,Journal of Gerontology Social Sciences
jhc,Journal of Human Capital
jhr,Journal of Human Resources
jhsb,Journal of Health and Social Behavior
jimi,Journal of International Migration and Integration
jiv,Journal of Interpersonal Violence
jle,Journal of Labor Economics
jmf,Journal of Marriage and Family
jmhs,Journal on Migration and Human Security
jpa,Journal of Population Ageing
jpe,Journal of Population Economics
jpr,Journal of Population Research
jrs,Journal of Regional Science
jtb,Journal of Theoretical Biology
l,The Lancet
m,Mobilities
mh,Mobility Humanities
ml,Migration Letters
mps,Mathematical Population Studies
ms,Migration Studies
n,Nature
ndp,Notas de poblacion
njmr,Nordic Journal of Migration Research
p,Population
pb,Population Bulletin
pd,Population and Development
pdp,Papeles de Poblacion
pdr,Population and Development Review
pe,Population and Environment
phm,Population Health Metrics
phr,Public Health Reports
pnas,Proceedings of the National Academy of Sciences
po,PLoS ONE
pr,Population Review
prpr,Population Research and Policy Review
ps,Population Studies
psp,"Population, Space and Place"
psrh,Perspectives on Sexual and Reproductive Health
q,Quetelet
ra,Research on Aging
rbdedp,Revista Brasileira de Estudos de População
reh,Review of Economics of the Household
rh,Rethinking History
rldp,Revista Latinoamericana de Población
rle,Research in Labor Economics
rs,Regional Studies
rssm,Research in Social Stratification and Mobility
s,Science
scg,Social and Cultural Geography
sd,Spatial Demography
sf,Social Forces
sfp,Studies in Family Planning
sh,SSM-Population Health
sir,Social Indicators Research
smr,Sociological Methods and Research
sn,Social Networks
ss,Sociological Science
sse,Spatial and Spatio-temporal Epidemiology
ssm,Social Science and Medicine
ssr,Social Science Research
t,Transfers
tcs,"Theory, Culture and Society"
tpb,Theoretical Population Biology
us,Urban Studies
vypr,Vienna Yearbook of Population Research
wd,World Development